time,sex,vegan,rest,games,series,books,child_offence_Разве что по делу,child_offence_Часто,dvach_Не знаю,dvach_Ненавижу Абу,dvach_Паблик в вк,gender_Би,gender_Гетеро,antisemetism_Нет,antisemetism_Я просто боюсь евреев,subject_Иностранные языки,subject_Информатика,subject_История,subject_Литература,subject_Матеша,subject_Физика,subject_Химия,crimea_Отрицательно,crimea_Положительно,english_Нормально,english_Оригатоё гайзаймас,english_Отлично,english_Хорошо,"english_Чуть лучше, чем ничего",putin_good,rebel,Детектив,Аниме,Драма,Комедия,Исторический фильм,Трагедия,Фантастика,Фильм ужасов,Боевик,Мелодрама
2019-09-06 23:52:20,1,2,1,3,5,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,1,0,1,0,0,0,1
2019-09-06 23:53:23,1,4,1,0,3,6,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,1,0,1,1,0,1
2019-09-06 23:54:36,0,0,1,7,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0
2019-09-06 23:57:23,0,0,1,0,3,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,1,1,1,1,1
2019-09-06 23:57:38,0,1,1,4,3,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,1,1,1,0
2019-09-06 23:59:58,0,1,1,5,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
2019-10-06 00:00:05,1,1,1,0,3,5,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,1,1,1,0,0,0,1
2019-10-06 00:00:17,0,1,1,7,3,2,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0
2019-10-06 00:00:22,0,2,1,7,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
2019-10-06 00:00:52,0,1,1,2,0,2,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1
2019-10-06 00:01:37,0,3,0,5,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
2019-10-06 00:04:43,0,1,1,7,2,7,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0
2019-10-06 00:05:28,0,0,1,3,1,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0
2019-10-06 00:08:17,1,3,0,0,2,1,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,1,1,1,1,0,0,0,0
2019-10-06 00:10:48,0,4,0,7,1,4,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0
2019-10-06 00:11:34,0,1,1,2,7,4,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0
2019-10-06 00:13:20,0,0,1,3,5,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,1,0,1,1,0,1,0
2019-10-06 00:14:34,0,3,1,5,7,2,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,1,1,1,1,1
2019-10-06 00:17:25,1,2,1,0,5,3,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,1,0,0,1,1,0,1
2019-10-06 00:20:01,0,1,1,5,2,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0
2019-10-06 00:37:22,0,0,0,7,5,7,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,1,1,1,1,0,1,1,0,0
2019-10-06 00:40:44,1,5,0,0,4,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
2019-10-06 00:45:42,1,0,1,2,5,5,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0
2019-10-06 00:47:12,1,3,0,0,2,5,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,1,1
2019-10-06 00:47:22,1,3,0,0,2,5,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,1,1
2019-10-06 00:48:03,1,3,0,5,7,7,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,1
